"Sr No","Blood Bank Name",State,District,City,Address,Pincode,"Contact No",Mobile,Helpline,Fax,Email,Website
1,"G.B. Pant Hospital Blood bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",744104,"03192 230628",9434266561,102,N/A,bbgbpant@gmail.com,
2,"I.N.H.S. Dhanvantri","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,"03192 248759",8001452200,N/A,N/A,,
3,"Pillar Health Centre Blood Bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",744104,"03192 233193, 03192 233993",9474247585,"03192 233193",N/A,pillarbloodbank2016@gmail.com,
4,"Indian Red Cross Society Blood Bank, District Branch","Andhra Pradesh",ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,"08554 246344",9441192365,NA,"08554 246344",NA,
5,"Government General Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",515001,"08554 275024",9866695858,NA,NA,bloodbankgghatp@gmail.com,
6,"Indian Red Cross Society","Andhra Pradesh",ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,8554246344,0,,,ircsbloodbank.anantapur@gmail.com,
7,"Rural Development Trust Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",515661,"08559 244259",9493268861,NA,NA,NA,
8,"South Central Railway Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,"08552 227166",9701374501,NA,NA,NA,
9,"Indian Red Cross Society Blood Bank","Andhra Pradesh",ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",515201,"08556 225900",0,NA,NA,ircshup@gmail.com,
10,"Indian Red Cross Society Blood bank RCH -II KADIRI","Andhra Pradesh",ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",515591,"08494 221544",9989738689,NA,NA,kadiriircs@gmail.com,
11,"S.S.S.I.H.M.S. Blood Bank","Andhra Pradesh",ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,"08555 287900",9490360321,NA,NA,saikiran_ptp@yahoo.co.in,
12,"District Head Quarters Hospital Blood Bank. ","Andhra Pradesh",CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",517001,NA,9849229482,NA,NA,bloodbankctr1@gmail.com,
13,"Indian Red Cross Society","Andhra Pradesh",CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,8572220287,0,,,"indian red cross society indian red corss society ",
14,"M/s IRCS Blood Bank.","Andhra Pradesh",CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,"08572 220287 ",9849229482,NA,NA,ircschittoor@gmail.com,
15,"M/s PESIMSR Blood Bank.","Andhra Pradesh",CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
",517425,"08570 256737",9391833741,NA,"08570 257200",pathpesimsr@gmail.com,
